alpha,b0,b1,b2,b3,b4,b5,b6,b7,b8
0.0000,0.00000,1.12949,1.26459,1.49819,1.88144,2.43133,3.19689,4.08051,5.03501
0.0500,0.00000,1.13172,1.26356,1.49629,1.87989,2.43038,3.19610,4.08015,5.03481
0.1000,0.00000,1.13805,1.26664,1.49621,1.87935,2.42992,3.19565,4.07983,5.03451
0.1500,0.00000,1.14670,1.27389,1.49867,1.87975,2.43019,3.19575,4.07967,5.03430
0.2000,0.00000,1.15709,1.28472,1.50344,1.88167,2.43180,3.19634,4.07957,5.03411
0.2500,0.00000,1.16869,1.29825,1.51099,1.88542,2.43443,3.19720,4.07979,5.03392
0.3000,0.00000,1.18128,1.31471,1.52031,1.89079,2.43901,3.19947,4.08019,5.03386
0.3500,0.00000,1.19435,1.33341,1.53193,1.89799,2.44500,3.20270,4.08083,5.03381
0.4000,0.00000,1.20817,1.35408,1.54539,1.90717,2.45224,3.20711,4.08189,5.03374
0.4500,0.00000,1.22250,1.37669,1.56039,1.91794,2.46155,3.21256,4.08312,5.03375
0.5000,0.00000,1.23784,1.40073,1.57696,1.93040,2.47276,3.21916,4.08480,5.03389
0.5500,0.00000,1.25409,1.42603,1.59511,1.94445,2.48537,3.22712,4.08691,5.03417
0.6000,0.00000,1.27127,1.45158,1.61429,1.95954,2.49929,3.23620,4.08939,5.03458
0.6500,0.00000,1.28971,1.47742,1.63467,1.97637,2.51487,3.24666,4.09231,5.03505
0.7000,0.00000,1.30979,1.50303,1.65634,1.99458,2.53231,3.25826,4.09563,5.03564
0.7500,0.00000,1.33125,1.52856,1.67877,2.01404,2.55146,3.27113,4.09929,5.03639
0.8000,0.00000,1.35434,1.55348,1.70214,2.03496,2.57173,3.28488,4.10361,5.03719
0.8500,0.00000,1.37869,1.57831,1.72585,2.05642,2.59350,3.30094,4.10830,5.03814
0.9000,0.00000,1.40238,1.60204,1.75063,2.07927,2.61499,3.31767,4.11361,5.03940
0.9500,0.00000,1.42403,1.62481,1.77544,2.10263,2.63591,3.33554,4.11922,5.04074
1.0000,0.00000,1.44282,1.64699,1.80096,2.12689,2.65819,3.35462,4.12532,5.04226
